system:index,EVI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,class6,.geo
00000000000000000032_0,0.44460014496255146,0.7396572,0.013674999999999993,0.018927499999999986,0.042935,0.044529999999999986,0.29755750000000003,0.18761250000000002,0.10016249999999999,323.96502578,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.275688304106104,-3.506684863512534]}"
00000000000000000033_0,0.2772606942742486,0.4994715,0.02814,0.0353175,0.06603500000000001,0.08168249999999999,0.2447025,0.236975,0.17127750000000003,325.15449674,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27892867805207,-3.5075015388637936]}"
00000000000000000034_0,0.26721425400073356,0.51232725,0.021952499999999986,0.03133,0.059655000000000014,0.07246999999999998,0.22473749999999998,0.22025499999999998,0.1390475,323.78045269999996,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27811821949131,-3.507772299141013]}"
00000000000000000035_0,0.43637117718506524,0.74327964,0.012465000000000004,0.019257499999999983,0.045162499999999994,0.041972499999999996,0.2850175,0.1608,0.08341500000000002,321.32289632,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27838788670841,-3.5083152833920157]}"
00000000000000000036_0,0.43637117718506524,0.74327964,0.012465000000000004,0.019257499999999983,0.045162499999999994,0.041972499999999996,0.2850175,0.1608,0.08341500000000002,321.32289632,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27838788670841,-3.5083152833920157]}"
00000000000000000037_0,0.39850334935929665,0.7196737,0.013289999999999996,0.019724999999999993,0.043292499999999984,0.042440000000000005,0.26035,0.1632475,0.08558749999999998,323.96502578,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.277037468519154,-3.5083142365644098]}"
00000000000000000038_0,0.36569336669619984,0.66205174,0.015902499999999986,0.021787499999999987,0.048242499999999994,0.05272500000000002,0.259305,0.18739250000000002,0.11102499999999998,324.33417194000003,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.2716370602072,-3.506681706888048]}"
00000000000000000039_0,0.4429835162179147,0.72877383,0.014582499999999998,0.021072499999999994,0.04642750000000001,0.04689499999999999,0.29890500000000003,0.17768499999999998,0.10010750000000002,323.2506596,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.271636640146184,-3.5072244811604696]}"
0000000000000000003a_0,0.47380800705640214,0.75541747,0.018075000000000008,0.021897499999999986,0.046235,0.043045,0.30894249999999995,0.1677575,0.09012500000000001,331.26933452000003,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28460229090777,-3.505063418596245]}"
0000000000000000003b_0,0.43421947511601855,0.73264706,0.018240000000000006,0.022529999999999994,0.04574,0.04356750000000001,0.28235,0.1637425,0.08456999999999998,331.23515432,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28433200153426,-3.5053345992897693]}"
0000000000000000003c_0,0.41717284610525307,0.7037147,0.016122499999999984,0.022557500000000008,0.0474175,0.049699999999999994,0.2857875,0.17125,0.10010750000000002,331.13603174,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28433158895323,-3.5058773751035406]}"
0000000000000000003d_0,0.45774854372727625,0.76605725,0.011007500000000003,0.01680999999999999,0.04032250000000001,0.03933249999999999,0.296925,0.15447500000000003,0.0777775,322.16372924,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27865776229979,-3.50858688007379]}"
0000000000000000003e_0,0.4061605980127765,0.7517166,0.011557499999999998,0.017167500000000002,0.037105,0.035977499999999996,0.2538325,0.1453175,0.07282749999999999,324.00604202,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.269743953088614,-3.509936871934802]}"
0000000000000000003f_0,0.4510253001174268,0.75731987,0.009852499999999986,0.016727500000000006,0.04216500000000001,0.04095499999999999,0.2965675,0.18417499999999998,0.09881499999999999,325.31172566,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.268933491291705,-3.5102076232173642]}"
00000000000000000040_0,0.3996008979795461,0.727881,0.013757500000000006,0.0173875,0.038479999999999986,0.04117499999999999,0.26145,0.19110500000000002,0.11795499999999998,326.52170474,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.268663407646926,-3.510207411153864]}"
00000000000000000041_0,0.43271380523747494,0.7474261,0.010374999999999995,0.015985,0.0412025,0.0413675,0.2862,0.1694075,0.08858500000000002,324.1564349,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27514855601248,-3.50614166894292]}"
00000000000000000042_0,0.4643177361985556,0.77168417,0.013207499999999983,0.017607499999999998,0.043842500000000006,0.0383425,0.29753,0.17906,0.09721999999999997,325.02119396,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.2751483470349,-3.5064130562954126]}"
00000000000000000043_0,0.4107789715646132,0.716963,0.018212499999999993,0.02459249999999999,0.045465000000000005,0.04345750000000001,0.2636225,0.1824425,0.10335250000000001,323.47283089999996,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.272718020589295,-3.50586838875888]}"
00000000000000000044_0,0.42447386116157,0.7331715,0.015160000000000007,0.021182499999999993,0.04711499999999999,0.042330000000000007,0.2749525,0.17237750000000002,0.09834749999999998,322.7550467,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27244772822174,-3.506139565244216]}"
